ID	New Type	New Category
250208-015	Vélo	M - Vélo
241019-019	Brumisateur	B - Article ménager non électrique
250830-010	Agrafeuse	G - Outil non électrique
231118-006	Agrafeuse	G - Outil non électrique
240925-004	Agrafeuse	G - Outil non électrique
250528-006	Agrafeuse	G - Outil non électrique
250528-004	Agrafeuse	G - Outil non électrique
250308-009	Agrafeuse	G - Outil non électrique
240127-020	Moniteur d'air	P - Chauffage/Climatisation
240330-007	Ordinateur Portable	F - Matériel informatique/téléphones
231209-008	Alimentation	F - Matériel informatique/téléphones
240928-001	Alimentation laboratoire	H - Outil électrique
241130-009	Alternateur	H - Outil électrique
250125-006	Ampli tuner	E - Matériel d'image et de son
241019-009	Ampli tuner	E - Matériel d'image et de son
240525-001	Ampli tuner	E - Matériel d'image et de son
231209-002	Ampli tuner	E - Matériel d'image et de son
231021-018	Amplificateur	E - Matériel d'image et de son
220910-003	Amplificateur	E - Matériel d'image et de son
220521-003	Ampli tuner	E - Matériel d'image et de son
230318-007	Ampli tuner	E - Matériel d'image et de son
230318-006	Ampli tuner	E - Matériel d'image et de son
250517-001	Amplificateur	E - Matériel d'image et de son
250719-003	Amplificateur	E - Matériel d'image et de son
220205-001	Amplificateur	E - Matériel d'image et de son
250208-001	Amplificateur	E - Matériel d'image et de son
241123-002	Amplificateur	E - Matériel d'image et de son
231209-009	Ampli tuner	E - Matériel d'image et de son
240914-014	Amplificateur	E - Matériel d'image et de son
240504-005	Amplificateur	E - Matériel d'image et de son
240113-012	Amplificateur	E - Matériel d'image et de son
220416-001	Amplificateur	E - Matériel d'image et de son
250528-002	Amplificateur	E - Matériel d'image et de son
220108-002	Amplificateur	E - Matériel d'image et de son
221008-005	Ampoule	N - Autre
221217-004	Manteau	L - Textile
210911-069	Appareil croque monsieur	A - Électroménager
220108-003	Appareil à gazeifier	A - Électroménager
250125-012	Appareil à raclette	A - Électroménager
240928-009	Appareil à raclette	A - Électroménager
231202-010	Appareil à raclette	A - Électroménager
221210-009	Appareil à raclette	A - Électroménager
210911-072	Appareil à raclette	A - Électroménager
250614-004	Appareil massage jambes	N - Autre
250315-016	Appareil photo	E - Matériel d'image et de son
250126-006	Appareil photo	E - Matériel d'image et de son
240615-001	Appareil photo	E - Matériel d'image et de son
211127-003	Appareil photo	E - Matériel d'image et de son
211016-007	Appareil photo	E - Matériel d'image et de son
250604-002	Écran photo numérique	E - Matériel d'image et de son
250531-002	Écran photo numérique	E - Matériel d'image et de son
250611-005	Radio	E - Matériel d'image et de son
250308-011	Aspirateur	A - Électroménager
250719-009	Aspirateur	A - Électroménager
240914-017	Aspirateur	A - Électroménager
250709-007	Aspirateur	A - Électroménager
250614-007	Aspirateur	A - Électroménager
250505-001	Aspirateur	A - Électroménager
250503-005	Aspirateur	A - Électroménager
250419-002	Aspirateur	A - Électroménager
250405-006	Aspirateur	A - Électroménager
250322-006	Aspirateur	A - Électroménager
250308-008	Aspirateur	A - Électroménager
250308-003	Aspirateur	A - Électroménager
250111-003	Aspirateur	A - Électroménager
241207-005	Aspirateur	A - Électroménager
241130-007	Aspirateur	A - Électroménager
241130-005	Aspirateur	A - Électroménager
241019-007	Aspirateur	A - Électroménager
240928-005	Aspirateur	A - Électroménager
240921-011	Aspirateur	A - Électroménager
240921-006	Aspirateur	A - Électroménager
240629-014	Aspirateur	A - Électroménager
240629-003	Aspirateur	A - Électroménager
240622-006	Aspirateur	A - Électroménager
240601-009	Aspirateur	A - Électroménager
240525-011	Aspirateur	A - Électroménager
240518-001	Aspirateur	A - Électroménager
240504-001	Aspirateur	A - Électroménager
240327-001	Aspirateur	A - Électroménager
240316-003	Aspirateur	A - Électroménager
240309-004	Aspirateur	A - Électroménager
240309-003	Aspirateur	A - Électroménager
240214-002	Aspirateur	A - Électroménager
240210-004	Aspirateur	A - Électroménager
240120-002	Aspirateur	A - Électroménager
240120-001	Aspirateur	A - Électroménager
240113-013	Aspirateur	A - Électroménager
240113-009	Aspirateur	A - Électroménager
240113-002	Aspirateur	A - Électroménager
231216-004	Aspirateur	A - Électroménager
231209-007	Aspirateur	A - Électroménager
231125-004	Aspirateur	A - Électroménager
231118-009	Aspirateur	A - Électroménager
231118-008	Aspirateur	A - Électroménager
231118-007	Aspirateur	A - Électroménager
231007-006	Aspirateur	A - Électroménager
230916-011	Aspirateur	A - Électroménager
230916-005	Aspirateur	A - Électroménager
230624-011	Aspirateur	A - Électroménager
230527-007	Aspirateur	A - Électroménager
230520-003	Aspirateur	A - Électroménager
230513-003	Aspirateur	A - Électroménager
230415-004	Aspirateur	A - Électroménager
230408-006	Aspirateur	A - Électroménager
230128-005	Aspirateur	A - Électroménager
230121-003	Aspirateur	A - Électroménager
221217-003	Aspirateur	A - Électroménager
221217-001	Aspirateur	A - Électroménager
221112-003	Aspirateur	A - Électroménager
221008-006	Aspirateur	A - Électroménager
220910-015	Aspirateur	A - Électroménager
220910-007	Aspirateur	A - Électroménager
220910-002	Aspirateur	A - Électroménager
220910-001	Aspirateur	A - Électroménager
220702-003	Aspirateur	A - Électroménager
220514-003	Aspirateur	A - Électroménager
220423-003	Aspirateur	A - Électroménager
220409-005	Aspirateur	A - Électroménager
220402-006	Aspirateur	A - Électroménager
211211-009	Aspirateur	A - Électroménager
211211-002	Aspirateur	A - Électroménager
211023-007	Aspirateur	A - Électroménager
211023-006	Aspirateur	A - Électroménager
211023-002	Aspirateur	A - Électroménager
211002-001	Aspirateur	A - Électroménager
210911-073	Aspirateur	A - Électroménager
210911-065	Aspirateur	A - Électroménager
250628-003	Aspirateur	A - Électroménager
231125-009	Aspirateur	A - Électroménager
230916-015	Aspirateur	A - Électroménager
250503-003	Aspirateur	A - Électroménager
250531-004	Aspirateur	A - Électroménager
250514-007	Aspirateur	A - Électroménager
250315-001	Aspirateur	A - Électroménager
250312-004	Aspirateur	A - Électroménager
250308-014	Aspirateur	A - Électroménager
250315-003	Aspirateur	A - Électroménager
220423-013	Aspirateur	A - Électroménager
241123-009	Aspirateur	A - Électroménager
240427-001	Aspirateur	A - Électroménager
241207-009	Aspirateur	A - Électroménager
241019-001	Robot aspirateur	A - Électroménager
240601-002	Robot aspirateur	A - Électroménager
221203-010	Robot aspirateur	A - Électroménager
220604-004	Robot aspirateur	A - Électroménager
240410-002	Aspirateur	A - Électroménager
250830-001	Aspirateur	A - Électroménager
250719-006	Aspirateur	A - Électroménager
231014-001	Aspirateur	A - Électroménager
250524-004	Aspirateur	A - Électroménager
250517-006	Aspirateur	A - Électroménager
250503-004	Aspirateur	A - Électroménager
250517-005	Aspirateur	A - Électroménager
250510-011	Aspirateur	A - Électroménager
250507-003	Aspirateur	A - Électroménager
250409-002	Aspirateur	A - Électroménager
221126-002	Tabouret	I - Meuble
240504-008	Radio	E - Matériel d'image et de son
220910-016	Autocuiseur	A - Électroménager
241214-012	Babycook	A - Électroménager
230211-004	Babycook	A - Électroménager
241019-012	Babyphone	Q - Sécurité/Domotique
230114-003	Babyphone	Q - Sécurité/Domotique
230107-008	Bague	J - Bijou
231209-005	Bain marie	A - Électroménager
240629-012	Baladeur	E - Matériel d'image et de son
240302-006	Baladeur	E - Matériel d'image et de son
231223-001	Baladeur	E - Matériel d'image et de son
250514-003	Balais Nettoyeur	A - Électroménager
210925-009	Balais Nettoyeur	A - Électroménager
241116-003	Balais Nettoyeur	A - Électroménager
240914-023	Balais Nettoyeur	A - Électroménager
210911-037	Balais Nettoyeur	A - Électroménager
230930-001	Balais Nettoyeur	A - Électroménager
240608-003	Balance	A - Électroménager
241005-011	Balance	A - Électroménager
220402-005	Balance	A - Électroménager
240601-008	Barbecue	A - Électroménager
220108-007	Barbecue	A - Électroménager
250201-003	Barre son	E - Matériel d'image et de son
241214-008	Barre son	E - Matériel d'image et de son
240914-022	Barre son	E - Matériel d'image et de son
220423-012	Barrette cheveux	N - Autre
